date;traffic-source;traffic-details;users;visits;pageviews;bounceRate;pageDepth;avgVisitDurationSeconds
2019-10-18;Link traffic;spblib.ru;2;2;5;0;2,5;149
2019-10-18;Link traffic;tracker.ak-dev.adc.vpn;1;2;5;0;2,5;107
2019-10-18;Link traffic;zoon.ru;1;1;3;0;3;300
2019-10-18;Search engine traffic;Yandex;2;3;6;0;2;34,33333333
2019-10-18;Search engine traffic;Yandex;9;9;22;0;2,44444444;66,66666667
2019-10-18;Search engine traffic;Google;3;3;6;33,33333333;2;141,3333333
2019-10-18;Search engine traffic;Google;2;3;4;0;1,33333333;13
2019-10-18;Search engine traffic;Google;5;5;27;0;5,4;423,4
2019-10-18;Social network traffic;VKontakte;1;1;1;0;1;16
2019-10-18;Social network traffic;VKontakte;12;13;29;7,69230769;2,23076923;60
2019-10-19;Internal traffic;;2;2;3;0;1,5;10,5
2019-10-19;Direct traffic;;4;4;7;0;1,75;47,75
2019-10-19;Direct traffic;;1;1;1;100;1;0
2019-10-19;Direct traffic;;6;7;13;14,28571429;1,85714286;36,14285714
2019-10-19;Link traffic;link.2gis.ru;1;2;3;50;1,5;154
2019-10-19;Link traffic;link.2gis.ru;1;1;2;0;2;125
2019-10-19;Link traffic;spblib.ru;1;1;6;0;6;499
2019-10-19;Search engine traffic;DuckDuckGo;1;1;2;0;2;127
2019-10-19;Search engine traffic;Yandex;2;3;5;0;1,66666667;444
2019-10-19;Search engine traffic;Yandex;2;4;7;0;1,75;126,75
2019-10-19;Search engine traffic;Yandex;2;2;2;0;1;30,5
2019-10-19;Search engine traffic;Google;5;6;13;16,66666667;2,16666667;313
2019-10-19;Social network traffic;VKontakte;1;1;1;100;1;0
2019-10-19;Social network traffic;VKontakte;1;2;2;0;1;14
2019-10-19;Social network traffic;VKontakte;7;7;10;28,57142857;1,42857143;13,71428571
2019-10-20;Internal traffic;;2;2;3;0;1,5;136,5
2019-10-20;Internal traffic;;1;2;7;0;3,5;868,5
2019-10-20;Internal traffic;;2;2;2;0;1;19,5
2019-10-20;Direct traffic;;1;2;2;0;1;15,5
2019-10-20;Direct traffic;;4;5;15;0;3;103,6
2019-10-20;Direct traffic;;4;4;7;0;1,75;204,25
2019-10-20;Link traffic;liblenina.ru;1;1;8;0;8;2095
2019-10-20;Link traffic;spblib.ru;1;1;3;0;3;166
2019-10-20;Search engine traffic;DuckDuckGo;1;1;2;0;2;11
2019-10-20;Search engine traffic;Yandex;2;2;13;0;6,5;318,5
2019-10-20;Search engine traffic;Yandex;4;4;7;0;1,75;24,5
2019-10-20;Search engine traffic;Google;2;3;20;0;6,66666667;675,3333333
2019-10-20;Search engine traffic;Google;1;1;1;0;1;15
2019-10-20;Search engine traffic;Google;5;5;11;0;2,2;55
2019-10-20;Social network traffic;VKontakte;3;3;13;0;4,33333333;240
2019-10-21;Internal traffic;;3;3;47;0;15,66666667;405,6666667
2019-10-21;Internal traffic;;1;1;1;0;1;15
2019-10-21;Internal traffic;;4;4;5;0;1,25;22,75
2019-10-21;Direct traffic;;62;62;88;35,48387097;1,41935484;30,20967742
2019-10-21;Direct traffic;;2;2;4;0;2;49
2019-10-21;Direct traffic;;13;14;89;0;6,35714286;214,7142857
2019-10-21;Link traffic;2childlibrary.ucoz.ru;1;1;2;0;2;32
2019-10-21;Link traffic;baltikamed.ru;1;1;2;0;2;41
2019-10-21;Link traffic;liblenina.ru;1;2;15;0;7,5;1174,5
2019-10-21;Link traffic;tracker.ak-dev.adc.vpn;1;1;2;0;2;6
2019-10-21;Search engine traffic;Yandex;6;9;91;0;10,11111111;1177,777778
2019-10-21;Search engine traffic;Yandex;11;15;55;6,66666667;3,66666667;338,2666667
2019-10-21;Search engine traffic;Google;2;2;7;0;3,5;766
2019-10-21;Search engine traffic;Google;5;5;14;40;2,8;118,4
2019-10-21;Social network traffic;VKontakte;3;3;11;0;3,66666667;50
2019-10-21;Social network traffic;VKontakte;1;1;3;0;3;21
2019-10-21;Social network traffic;VKontakte;6;6;9;16,66666667;1,5;20
2019-10-22;Internal traffic;;3;6;20;16,66666667;3,33333333;422,8333333
2019-10-22;Internal traffic;;1;1;3;0;3;67
2019-10-22;Internal traffic;;2;3;4;0;1,33333333;12,66666667
2019-10-22;Direct traffic;;7;9;30;11,11111111;3,33333333;282,5555556
2019-10-22;Direct traffic;;2;2;3;50;1,5;10,5
2019-10-22;Direct traffic;;10;11;38;9,09090909;3,45454545;222,3636364
2019-10-22;Link traffic;gaidar.ucoz.ru;1;1;1;0;1;18
2019-10-22;Link traffic;hghltd.yandex.net;1;1;2;0;2;4
2019-10-22;Link traffic;spblib.ru;1;1;5;0;5;160
2019-10-22;Search engine traffic;Yandex;1;1;1;0;1;15
2019-10-22;Search engine traffic;Yandex;1;1;3;0;3;301
2019-10-22;Search engine traffic;Yandex;6;8;16;12,5;2;161,375
2019-10-22;Search engine traffic;Google;8;9;35;22,22222222;3,88888889;114,6666667
2019-10-22;Search engine traffic;Google;6;7;12;14,28571429;1,71428571;32,57142857
2019-10-22;Social network traffic;VKontakte;3;3;3;33,33333333;1;11,66666667
2019-10-22;Social network traffic;VKontakte;17;23;136;13,04347826;5,91304348;788,4782609
2019-10-22;Social network traffic;Facebook;1;1;3;0;3;118
2019-10-23;Internal traffic;;3;4;52;0;13;2749
2019-10-23;Internal traffic;;1;1;1;0;1;15
2019-10-23;Internal traffic;;5;5;6;0;1,2;17,6
2019-10-23;Direct traffic;;4;4;5;25;1,25;19,75
2019-10-23;Direct traffic;;2;3;3;33,33333333;1;64,33333333
2019-10-23;Direct traffic;;7;9;17;11,11111111;1,88888889;339,2222222
2019-10-23;Link traffic;spblib.ru;1;1;1;0;1;21
2019-10-23;Link traffic;spblib.ru;2;2;2;0;1;15,5
2019-10-23;Link traffic;tracker.ak-dev.adc.vpn;1;1;4;0;4;24
2019-10-23;Search engine traffic;Yandex;5;5;9;0;1,8;36,6
2019-10-23;Search engine traffic;Yandex;5;6;12;0;2;105,1666667
2019-10-23;Search engine traffic;Google;3;7;31;0;4,42857143;288,4285714
2019-10-23;Search engine traffic;Google;6;6;10;0;1,66666667;25,16666667
2019-10-23;Search engine traffic;Mail.ru;2;2;4;0;2;149,5
2019-10-23;Social network traffic;VKontakte;2;5;44;0;8,8;182,4
2019-10-23;Social network traffic;VKontakte;11;18;44;5,55555556;2,44444444;321,7777778
2019-10-24;Internal traffic;;2;4;47;25;11,75;1905,25
2019-10-24;Internal traffic;;1;1;1;0;1;14
2019-10-24;Internal traffic;;2;2;2;50;1;8
2019-10-24;Direct traffic;;9;13;32;15,38461538;2,46153846;265,7692308
2019-10-24;Direct traffic;;3;4;43;0;10,75;970
2019-10-24;Direct traffic;;9;11;46;0;4,18181818;340,4545455
2019-10-24;Link traffic;spbgaidara.ru;1;1;4;0;4;2148
2019-10-24;Link traffic;spblib.ru;2;2;2;0;1;35
2019-10-24;Link traffic;spblib.ru;1;1;2;0;2;240
2019-10-24;Link traffic;tracker.ak-dev.adc.vpn;1;4;8;0;2;355,75
2019-10-24;Search engine traffic;Yandex;2;2;10;0;5;96
2019-10-24;Search engine traffic;Yandex;10;14;39;0;2,78571429;122,5714286
2019-10-24;Search engine traffic;Google;3;4;8;50;2;183
2019-10-24;Search engine traffic;Google;3;3;21;0;7;564,6666667
2019-10-24;Search engine traffic;Google;7;7;27;0;3,85714286;126,7142857
2019-10-24;Social network traffic;VKontakte;1;1;1;0;1;15
2019-10-24;Social network traffic;VKontakte;7;12;18;8,33333333;1,5;41,91666667
2019-10-25;Internal traffic;;1;1;1;0;1;111
2019-10-25;Internal traffic;;3;3;4;0;1,33333333;25,66666667
2019-10-25;Direct traffic;;8;8;15;12,5;1,875;89,75
2019-10-25;Direct traffic;;3;3;5;0;1,66666667;32,33333333
2019-10-25;Direct traffic;;7;8;23;25;2,875;80,75
2019-10-25;Link traffic;spblib.ru;1;1;1;0;1;17
2019-10-25;Search engine traffic;Yandex;1;1;3;0;3;72
2019-10-25;Search engine traffic;Yandex;3;3;12;0;4;238
2019-10-25;Search engine traffic;Yandex;10;12;25;8,33333333;2,08333333;87,5
2019-10-25;Search engine traffic;Google;4;5;6;20;1,2;28,2
2019-10-25;Search engine traffic;Google;1;1;1;0;1;15
2019-10-25;Search engine traffic;Google;6;7;31;14,28571429;4,42857143;151,4285714
